text
"James was leaning against the empty guard desk when he heard footsteps. Straightening, he shoved his hands in the pocket of his Boston PD uniform as a figure emerged from the door that led to the basement. | © Daniela Chamorro Mantica"
There was no clock on the nightstand between the two beds. Just an analogue phone and a brochure I’d taken from the front desk that advertised two free steak dinners down at the lounge. | © Abigail Stillwell
"Finley should’ve been happier — he should’ve been beaming out there on the hardwood. At seventeen he had a car, a job, and a girlfriend. Life for him was good, and about to get better for his imminent release from a societal obligation that had all the inconvenience of a full-time job, but with none of the benefit. | © Brian Moore"
"Inside a Belizean cave, you wade deeper into green water in search of Xibalba, the underworld. Alone—save for the snakes and cave crickets—you put on a miner’s lamp and begin to explore the murky Sibun River. You stumble and swallow a large gulp of water and spit out the muddy, gritty aftertaste. When you recover, you ease into a pair of flippers and move farther along the cave’s meandering tunnels. | © Brian L. Tucker"
"Sophie had forgotten him by then. Not completely, he would have returned eventually, but enough for now. It would surprise her how easy it had been to forget, as if her body had ignored a wound. At no precise moment, some kind helper in her mind had draped a sheet over the pain. Let it be for now, she doesn’t have to see it tonight. It was not going anywhere today, and in some ways never would, so let her rest for now, let it be. And there it would have lain all night, until she lay in bed waiting for sleep, if there had not been one final scene to play. | © Thomas Rooney"
"She is a nameless woman with unicorn skin, bearing purple and pink scars that bleed into an ashen sky. Her eyes pulse with the spectral grit and oil of yesterday’s brutality. As pain boils, it sears open a distant heaven, as real as her life, now exhausted, as a kingdom waits, seated on a throne in her mind. At the moment, a giant orb expands and contracts exultingly above her diminishing body, blinding white with cruel, descending compassion. | © Stephanie Flood"
"The city’s planners and designers wanted to name it Utopia, but soon realized, the project would not be considered if they did. So, it was named Glory and it truly was glorious. Nin was born into this perfect city, with its perfect buildings, perfect people and where virtually everything was simply…perfect. The only problem was, Nin was not perfect. Nin was the one in 10,000 born with deformities that seemed to baffle modern medicine. Try as they may, the medical community was not able, or not willing, to explain the two nubs that should have been Nin’s legs. Therefore, when Nin was born, they quickly removed the infant from the delivery room. A city official rushed in to explain how sorry the city was, and that the city would accept all responsibility for this less than perfect child. The grieving couple was moved to the head of the birthing queue and life quickly returned to the glorious norm. Before long, the couple produced another child, perfect in every way. | © W.A. Fix"
"Look at her, sitting outside talking to another client. What does that even mean? I can’t even focus on my video game, because she’s on the patio laughing at his stupid jokes. I’m unsure why we’ve been here for the past week; this is the longest we’ve stayed in a place like this. I hate it. This isn’t home. This is one of Nanny’s many rooms. | © Amanda Dolan"
"The final trip of the “Draken Salvage Team,” of Nyn&auml;shamn, Sweden. | © Kelsy Provost"
She awoke in her little bedroom on the upper floor of her townhouse apartment. She pulled off the covers and rolled away from the spot of pee with her little boy at the center of it. | © Brian Moore
"Cabin boy Heimun-Vhi swung down the ladders of Eden’s exoskeleton, heading for the main crosswalk. Chief Engineering officer Cheney hadn’t been at his usual post and the Captain had threatened him with a skinning if the entire prime crew didn’t gather in the Belly immediately ten minutes ago. | © Erin Cairns"
"Kevin’s third floor apartment sat at the top of a long twisting staircase. There was no elevator, which was fine, because the city power went during his weeklong smack binge. The images of panic, rioting, emergency warnings then eventually static on every channel could have been dreams while he was on the nod. He wasn’t sure. | © Jennifer Rich"
Poor George Trumbull had been dead 10 days before anyone knew. | © Kevin M. Strawser
An email you received in error should be deleted immediately. DO NOT OPEN IT! Jill stared at the monitor wondering what was in that email. She wanted to do what was required the first day on her new job. But that wouldn’t help her find her missing friend who had sat in that very chair a week ago. | © Ruth Ann Hixson
"I glistened upon the sidewalk, fandango-pink and malleable. I was fresh with plasticity, a film of frothy saliva comfortably settling into my crevices. Its tiny bubbles tickled my elastic flesh as they popped beneath a frightful sun. I knew that dreaded thing would be my end; I would be reduced to an insipid blotch upon an otherwise clear pavement. | © Alex Creece"
"This is the story of the daughter of the Gold-Rich King who created the Kingdom of Apples where no one is hungry or poor or cries themselves to sleep. The daughter of the Gold-Rich King stepped on the public road. She was leaving the Golden Castle for the first time. Golden bracelets hung from her arms covering her wrists to her elbows, golden rings covered her fingers and toes. Golden anklets wound around her legs from ankles to knees. Compelled by her dream she left on a moonless night. | © Laura Beasley"
"“Hand over a nickel, young lady,” Mr. Catrine said, his eyebrows that of a vexed crow. | © Kristina England"
"Chloe was not in the mood for the day trip her grandpa had organized for her. She had been, but then her dance recital had gone the wrong way, to her big shame. Everyone had stared at her as she missed the first step, and many had laughed when the inevitable fall came, even some of the parents in the audience. She particularly remembered the one dad who, holding his daughter in a firm embrace, had flashed her his fake smile and said that perhaps she would be better off choosing another sport. Chess or darts for example. | © Martin Hooijmans"
"On the shores of the swamp, two teenagers fell in love during the twilight of an autumn night. He kicked off his shoes and rolled up his pants; she slid from her sandals and held the hem of her dress in her right hand. There were grimy jars underneath the back steps of the house. He unscrewed the lids and handed her one. She let go of the hem of her dress, and they waded into the water together. Dashing through the shallows, they caught an odd dozen of fireflies. After releasing their catch, he brushed a stray hair behind her ear and kissed her for the first time. | © Laura Konrad"
Mr. Hardenbrook peered out the front window of the coffee shop. | © Kristina England
"The city had not gone to sleep, as there are very few cities left in the world that still sleep and those that do aren’t frequented. Nevertheless, the city was as near to sleep as it ever would be, and thus our story begins. The sky, beyond the thick layer of smog and the even thicker layer of fog and a slightly less thick but nonetheless significant layer of cloud from which rain plummeted, was black with a plethora of stars in various arrangements. Some said they could see a spoon, a bear, or even a warrior in these stars, but truly there were no utensils or animals or people of any occupation in the sky. People just liked to add meaning to the random scatterings, so we let them name the stars’ shapes and enjoy the constellations when they can see them, which isn’t often for our city dwellers. | © Kristan Melo"
"Nagesh Kumar had diabetes ever since he was a little boy, and his parents did their best to deal with a difficult situation. In spite of this problem, Nagesh turned out to be a good-looking fellow, albeit a little frail, with a head full of dark curly hair. He was by no means a ruggedly handsome six footer and broad shouldered. He was what some girls called cute. When he heard that a hot babe in his college called him cute, he was devastated, and assumed he had no chance with that beautiful damsel. In his book cute applied to babies, puppies, kitty cats, not to a debonair and dashing guy like himself. | © Rudy Ravindra"
"Puck came running back once more, the metal pipe firmly clenched between his teeth. Ben watched him approach with a profound weariness. He did not think he could bring himself to throw the pipe, not a twentieth time. | © Martin Hooijmans"
"And she was sure, absolutely sure, that he didn’t mean to really hurt her or even to scare her. | © Judy Hall"
"There once was a young, lone wolf with bright blue eyes named Daniel. He often lay under the stars thinking about the big, mysterious world out there, longing to explore it. However he had become mixed up with an evil wolf pack, which influenced his every move, ensuring that every time he thought of escape there was someone lurking in the nearby distance that would hold him back. | © Feather Blue"
"The little girl ran ahead of her parents, who were completely immersed in the information board. She didn’t have time for information boards. She wanted the real thing. | © Martin Hooijmans"
"“Jonah. Get over here,” Jonah’s father said. | © Faith Cosentino"
"Freddie and Fern were an old couple, a very old couple if truth be told, but on the matter of age, the truth seldom surfaced. Their kids were grown and gone and had families of their own. All of them lived in different cities and two of them had even asked their parents to sell the house and buy a smaller place near where they lived. But Freddie and Fern, despite all their aches and pains, were an independent couple and they liked their privacy. Seeing their grandchildren was nice but living close enough to have to babysit them, that was quite another matter. | © Donal Mahoney"
with apologies to Jonathan Swift | © Donal Mahoney
"As a police detective, Jake had seen some horrific injuries and fatalities but nothing looked this warped. Ever. | © Joey To"
Most of the time I can almost believe she’s real. | © Philip Harris
"Once he completed his engineering degree, like many of his peers, Deepak prepared to go to America for graduate studies. His parents felt that if they let Deepak go to U.S.A. all by himself, he might be lured into a dangerous liaison by a beef-eating Christian girl. So they began the search for a suitable girl in and around Hyderabad. Since Deepak was dark, short, and puny, many prospective brides weren’t impressed. When it became crystal clear that the modern girls in the Hyderabad metro area weren’t keen on Deepak, a much wider net was cast, and a suitable girl was located in Kakinada, a small town in coastal Andhra Pradesh. The prim and proper Usha had beady eyes, bushy eyebrows, and fine hairs on her chin and upper lip and was obviously not in a position to reject Deepak. | © Rudy Ravindra"
"A bleak morning sun seeped through the clouds, casting its dim light over the thousands of graves that marked the valley. Home to the dead, it was avoided by the living, scared away by frightening tales of legend. | © Martin Hooijmans"
“It’s not my turn.” | © Sandra Crook
"I was born in a small town of just over a thousand people. It was a company town that ran the length of a creek that hugged a huge mountain, for most of a mile. The entire town was on one side of the creek, the streets all running perpendicular to the creek. Like bureaucracies, law firms, and corporate offices, you knew who was who just by where everyone lived. | © Vassar Bushmills"
"The little girl sits on the stoop, waiting and wondering. | © Carey Kight"
"Pietro scratches at the scars pickling his legs, souvenirs from African insects. The only treatment available for the infected bite wounds was to scrape the pus from the flesh until the blood flowed, then apply iodine. The pain of opening old wounds is still fresh in his memory. | © Carla Dow"
"As soon as his aunt lay down for her afternoon nap, the boy took off on his bike. He sliced through his subdivision, then made his way through the narrower streets of the older neighborhoods, where his mother had grown up. Her father had grown up on one of the farms just beyond. | © Don Tassone"
"I sit on the prickly green carpet and try to force myself to focus. I am as detached from my decision now as I was from Steve’s rigid body yesterday. I am now as I was then, an impartial bystander waiting patiently to the side until the decision is made. | © Carla Dow"
Cori stepped into the desert in the winter in Arizona. It was her last day of vacation and everything appeared dead. | © Jeff Burt
"I was snooping through my wife’s closet in between football games while she was away trying to connect with her family at one of their, “Tell us how you feel about that,” reunions, when I found something tucked away in a shoebox under a pair of sequined high heels. | © Paul Beckman"
Shift Transition Departing Custodian: Mr. Stuart Arriving Custodian: Mr. von Grawbadger | © Brian Moore
"Tim Murnane was born to parents who lived in a small brick bungalow in a lower-middle class neighborhood in Chicago. His father worked as an electrician for Commonwealth Edison Company and his mother stayed home, a not uncommon calling for a housewife and mother following the end of World War II. | © Donal Mahoney"
"Their parents agreed one weekend that Tommy could sleep over at his friend Nick’s house. They were seven. It would be their first sleepover, and their last. | © James Osborne"
Morgan woke to the weary shoosh of airbrakes. The bus jittered as its engine died. Cold glass pressed hard and slick to Morgan’s cheek. Blackness lay beyond the window. | © K.C. Ball
"Kaia grows up writing. She goes from writing about her parents to writing about breakups to writing about feminism to writing about the people who ride public buses to writing about divorce. After that she writes nothing, because she’s dead. It doesn’t matter how. Kaia grows up wealthy, but she doesn’t stay that way, because her father dies when she’s sixteen. It doesn’t matter how, except that his considerable medical expenses bankrupt the family. Her father is a botanist from Ontario. He loves old movies and sushi and botany and Kaia’s mother, who’s a botanist from South Carolina. Kaia’s mother loves swimming and old movies and her three ex-husbands. | © Miles Varana"
"Memories return as I crawl into the depths of my blankets. Darkness envelops me, then takes me to a place where a newly born’s laughter places smiles on many faces. They are vague, nearly forgotten, but my desire is achieved. Safety. Love. Shelter. Things taken for granted in the past, but no longer. No longer do I have the smiles. All I have are the memories. And the depths of my blankets. | © Martin Hooijmans"
She felt like melting. | © Matthew Vasiliauskas
"Despite this being summer, the walnut trees dotting the old farmhouse property were dead. Skeletal branches reached up and drooped down in nature’s mournful display that this was poison land where nothing worthwhile could grow. | © Lee DeAmali"
"From a nearby tree, one after another, birds dropped like stones, then, just before they struck the hard earth, swooped toward the front door. Flying fast, like black blurs through the twilight, they stuck their beaks in the heavy timber door like darts. Thwack! Thwack! Ten birds, then ten more, and Silas just lay there, listening. His eyelids shut so tight they trembled, flinching each time the birds hit. After what seemed an hour, he slid out of bed, but didn’t turn on the lights so as to avoid waking his pregnant wife, Martinique. | © Rob Essley"
